transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
131,Bob Iles,https://www.transfermarkt.co.uk/bob-iles/profil/spieler/611453,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Goalkeeper,22,-,78/79,['England'],Weymouth FC,MISSING VALUE,Chelsea FC,First Division (- 91/92),€15k
132,Henry Smith,https://www.transfermarkt.co.uk/henry-smith/profil/spieler/101138,https://img.a.transfermarkt.technology/portrait/medium/s_101138_123_2014_02_19_1.jpg?lm=1,Goalkeeper,22,-,78/79,['Scotland'],Winterton Rangers,MISSING VALUE,Leeds United,First Division (- 91/92),€15k
133,Frank Hannemann,https://www.transfermarkt.co.uk/frank-hannemann/profil/spieler/193190,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Striker,18,-,78/79,['Germany'],FC Hertha 03 Zehlendorf U19,MISSING VALUE,FC St. Pauli,2. BL North,€13k
134,Pierre Littbarski,https://www.transfermarkt.co.uk/pierre-littbarski/profil/spieler/87902,https://img.a.transfermarkt.technology/portrait/medium/87902-1461143112.jpg?lm=1,Attacking Midfield,18,-,78/79,['Germany'],FC Hertha 03 Zehlendorf U19,MISSING VALUE,1.FC Köln,Bundesliga,€13k
135,Bobby Gould,https://www.transfermarkt.co.uk/bobby-gould/profil/spieler/176657,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,32,-,78/79,['England'],Aalesunds FK,MISSING VALUE,Hereford United (- 2014),MISSING VALUE,€12k
136,David Nish,https://www.transfermarkt.co.uk/david-nish/profil/spieler/253812,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left-Back,31,-,78/79,['England'],Derby County,First Division (- 91/92),Tulsa Roughnecks,MISSING VALUE,€11k
137,Peter Rogers,https://www.transfermarkt.co.uk/peter-rogers/profil/spieler/858550,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,25,-,78/79,['England'],Bath City,MISSING VALUE,Exeter City,MISSING VALUE,€10k
138,John McClelland,https://www.transfermarkt.co.uk/john-mcclelland/profil/spieler/117773,https://img.a.transfermarkt.technology/portrait/medium/117773-1701763377.jpg?lm=1,Centre-Back,22,-,78/79,['Northern Ireland'],Bangor City,MISSING VALUE,Mansfield Town,MISSING VALUE,€10k
139,Joachim Löw,https://www.transfermarkt.co.uk/joachim-low/profil/spieler/87474,https://img.a.transfermarkt.technology/portrait/medium/87474-1587977140.jpg?lm=1,Centre-Forward,18,-,78/79,['Germany'],Sportfreunde Eintracht Freiburg,MISSING VALUE,SC Freiburg,2. BL South,€10k
140,Bernie Wright,https://www.transfermarkt.co.uk/bernie-wright/profil/spieler/672093,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,25,-,78/79,['England'],Bradford City,MISSING VALUE,Port Vale FC,MISSING VALUE,€10k
141,Felix Healy,https://www.transfermarkt.co.uk/felix-healy/profil/spieler/141110,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Midfielder,22,-,78/79,['Northern Ireland'],Finn Harps,MISSING VALUE,Port Vale FC,MISSING VALUE,€10k
142,Eduardo Gerolami,https://www.transfermarkt.co.uk/eduardo-gerolami/profil/spieler/584101,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Defender,26,-,78/79,['Uruguay'],Recreativo Huelva,LaLiga,Sevilla FC,LaLiga,€9k
143,Scott Endersby,https://www.transfermarkt.co.uk/scott-endersby/profil/spieler/811046,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Goalkeeper,17,-,78/79,['England'],Kettering Town,MISSING VALUE,Ipswich Town,First Division (- 91/92),€9k
144,Alan Guy,https://www.transfermarkt.co.uk/alan-guy/profil/spieler/870171,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Midfielder,21,-,78/79,['England'],Newcastle United,Second Division ,Peterborough United,MISSING VALUE,€5k
145,Richard Walden,https://www.transfermarkt.co.uk/richard-walden/profil/spieler/269975,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right-Back,30,-,78/79,['England'],Sheffield Wednesday,MISSING VALUE,Newport County,MISSING VALUE,€5k
146,Peter Scott,https://www.transfermarkt.co.uk/peter-scott/profil/spieler/177233,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right-Back,26,-,78/79,"['Northern Ireland', 'England']",York City,MISSING VALUE,Aldershot FC (- 1992),MISSING VALUE,€5k
147,Johann Dihanich,https://www.transfermarkt.co.uk/johann-dihanich/profil/spieler/95206,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right Midfield,19,-,78/79,['Austria'],ASKÖ Klingenbach,Burgenlandliga,Austria Vienna,1. Division,€4k
148,Jaan de Graaf,https://www.transfermarkt.co.uk/jaan-de-graaf/profil/spieler/189252,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Striker,22,-,78/79,['Netherlands'],VV IJsselmeervogels,MISSING VALUE,AZ '67 Alkmaar,Eredivisie,€4k
149,Paco Bonet,https://www.transfermarkt.co.uk/paco-bonet/profil/spieler/214166,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Back,19,-,78/79,['Spain'],CD Atlético Baleares,MISSING VALUE,Elche CF,2ª División,€4k
150,Peter Litchfield,https://www.transfermarkt.co.uk/peter-litchfield/profil/spieler/802793,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Goalkeeper,22,-,78/79,['England'],FC Droylsden,MISSING VALUE,Preston North End,Second Division ,€4k
151,Barry Howard,https://www.transfermarkt.co.uk/barry-howard/profil/spieler/822004,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left Winger,28,-,78/79,['England'],Stockport County,MISSING VALUE,Altrincham FC,MISSING VALUE,€3k
152,Alan Wilson,https://www.transfermarkt.co.uk/alan-wilson/profil/spieler/876598,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,25,-,78/79,['England'],Southport FC,MISSING VALUE,Torquay United,MISSING VALUE,€3k
153,Wout Holverda,https://www.transfermarkt.co.uk/wout-holverda/profil/spieler/217842,https://img.a.transfermarkt.technology/portrait/medium/217842-1709552746.jpg?lm=1,Left Winger,20,-,78/79,['Netherlands'],LV Roodenburg,MISSING VALUE,Sparta Rotterdam,Eredivisie,€2k
154,Johnny Jacobsen,https://www.transfermarkt.co.uk/johnny-jacobsen/profil/spieler/318036,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,23,-,78/79,['Denmark'],Bröndby IF,MISSING VALUE,BK Fremad Amager,MISSING VALUE,€404
155,Barry Howard,https://www.transfermarkt.co.uk/barry-howard/profil/spieler/822004,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left Winger,28,-,78/79,['England'],Stockport County,MISSING VALUE,Altrincham FC,MISSING VALUE,€3k
156,Alan Wilson,https://www.transfermarkt.co.uk/alan-wilson/profil/spieler/876598,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,25,-,78/79,['England'],Southport FC,MISSING VALUE,Torquay United,MISSING VALUE,€3k
157,Wout Holverda,https://www.transfermarkt.co.uk/wout-holverda/profil/spieler/217842,https://img.a.transfermarkt.technology/portrait/medium/217842-1709552746.jpg?lm=1,Left Winger,20,-,78/79,['Netherlands'],LV Roodenburg,MISSING VALUE,Sparta Rotterdam,Eredivisie,€2k
158,Johnny Jacobsen,https://www.transfermarkt.co.uk/johnny-jacobsen/profil/spieler/318036,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,23,-,78/79,['Denmark'],Bröndby IF,MISSING VALUE,BK Fremad Amager,MISSING VALUE,€404
159,Barry Howard,https://www.transfermarkt.co.uk/barry-howard/profil/spieler/822004,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left Winger,28,-,78/79,['England'],Stockport County,MISSING VALUE,Altrincham FC,MISSING VALUE,€3k
160,Alan Wilson,https://www.transfermarkt.co.uk/alan-wilson/profil/spieler/876598,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,25,-,78/79,['England'],Southport FC,MISSING VALUE,Torquay United,MISSING VALUE,€3k
161,Wout Holverda,https://www.transfermarkt.co.uk/wout-holverda/profil/spieler/217842,https://img.a.transfermarkt.technology/portrait/medium/217842-1709552746.jpg?lm=1,Left Winger,20,-,78/79,['Netherlands'],LV Roodenburg,MISSING VALUE,Sparta Rotterdam,Eredivisie,€2k
162,Johnny Jacobsen,https://www.transfermarkt.co.uk/johnny-jacobsen/profil/spieler/318036,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,23,-,78/79,['Denmark'],Bröndby IF,MISSING VALUE,BK Fremad Amager,MISSING VALUE,€404
163,Barry Howard,https://www.transfermarkt.co.uk/barry-howard/profil/spieler/822004,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left Winger,28,-,78/79,['England'],Stockport County,MISSING VALUE,Altrincham FC,MISSING VALUE,€3k
164,Alan Wilson,https://www.transfermarkt.co.uk/alan-wilson/profil/spieler/876598,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,25,-,78/79,['England'],Southport FC,MISSING VALUE,Torquay United,MISSING VALUE,€3k
165,Wout Holverda,https://www.transfermarkt.co.uk/wout-holverda/profil/spieler/217842,https://img.a.transfermarkt.technology/portrait/medium/217842-1709552746.jpg?lm=1,Left Winger,20,-,78/79,['Netherlands'],LV Roodenburg,MISSING VALUE,Sparta Rotterdam,Eredivisie,€2k
166,Johnny Jacobsen,https://www.transfermarkt.co.uk/johnny-jacobsen/profil/spieler/318036,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,23,-,78/79,['Denmark'],Bröndby IF,MISSING VALUE,BK Fremad Amager,MISSING VALUE,€404
