transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
57,Zlatan Ibrahimović,https://www.transfermarkt.co.uk/zlatan-ibrahimovic/profil/spieler/3455,https://img.a.transfermarkt.technology/portrait/medium/3455-1719163454.jpg?lm=1,Centre-Forward,27,45000000,09/10,"['Sweden', 'Bosnia-Herzegovina']",Inter Milan,Serie A,FC Barcelona,LaLiga,69500000
58,Achraf Hakimi,https://www.transfermarkt.co.uk/achraf-hakimi/profil/spieler/398073,https://img.a.transfermarkt.technology/portrait/medium/398073-1672304327.jpg?lm=1,Right-Back,22,60000000,21/22,"['Morocco', 'Spain']",Inter Milan,Serie A,Paris Saint-Germain,Ligue 1,68000000
59,Riyad Mahrez,https://www.transfermarkt.co.uk/riyad-mahrez/profil/spieler/171424,https://img.a.transfermarkt.technology/portrait/medium/171424-1699948752.jpg?lm=1,Right Winger,27,50000000,18/19,"['Algeria', 'France']",Leicester City,Premier League,Manchester City,Premier League,67800000
60,Matthijs de Ligt,https://www.transfermarkt.co.uk/matthijs-de-ligt/profil/spieler/326031,https://img.a.transfermarkt.technology/portrait/medium/326031-1700659567.jpg?lm=1,Centre-Back,22,70000000,22/23,['Netherlands'],Juventus FC,Serie A,Bayern Munich,Bundesliga,67000000
61,Kaká,https://www.transfermarkt.co.uk/kaka/profil/spieler/3366,https://img.a.transfermarkt.technology/portrait/medium/3366-1683638749.jpg?lm=1,Attacking Midfield,27,55000000,09/10,"['Brazil', 'Italy']",AC Milan,Serie A,Real Madrid,LaLiga,67000000
62,Álvaro Morata,https://www.transfermarkt.co.uk/alvaro-morata/profil/spieler/128223,https://img.a.transfermarkt.technology/portrait/medium/128223-1719989301.jpg?lm=1,Centre-Forward,24,40000000,17/18,['Spain'],Real Madrid,LaLiga,Chelsea FC,Premier League,66000000
63,Marc Cucurella,https://www.transfermarkt.co.uk/marc-cucurella/profil/spieler/284857,https://img.a.transfermarkt.technology/portrait/medium/284857-1659559729.jpg?lm=1,Left-Back,24,28000000,22/23,['Spain'],Brighton & Hove Albion,Premier League,Chelsea FC,Premier League,65300000
64,Gonçalo Ramos,https://www.transfermarkt.co.uk/goncalo-ramos/profil/spieler/550550,https://img.a.transfermarkt.technology/portrait/medium/550550-1681906158.jpg?lm=1,Centre-Forward,22,50000000,23/24,['Portugal'],SL Benfica,Liga Portugal,Paris Saint-Germain,Ligue 1,65000000
65,Bruno Fernandes,https://www.transfermarkt.co.uk/bruno-fernandes/profil/spieler/240306,https://img.a.transfermarkt.technology/portrait/medium/240306-1683882766.jpg?lm=1,Attacking Midfield,25,60000000,19/20,['Portugal'],Sporting CP,Liga NOS,Manchester United,Premier League,65000000
66,João Cancelo,https://www.transfermarkt.co.uk/joao-cancelo/profil/spieler/182712,https://img.a.transfermarkt.technology/portrait/medium/182712-1675080937.jpg?lm=1,Right-Back,25,55000000,19/20,['Portugal'],Juventus FC,Serie A,Manchester City,Premier League,65000000
